,term,weight
0,##10,1.61
1,##anial,1.36
2,##end,1.85
3,##eur,1.68
4,##far,1.77
5,##ff,1.36
6,##logic,1.64
7,##oro,1.55
8,##patient,1.82
9,##quist,1.68
10,##rum,1.19
11,##usion,1.19
12,##vita,2.05
13,abdominal,1.27
14,add,1.3
15,admission,1.82
16,apex,1.88
17,ca,1.2
18,chest,1.64
19,confirmed,1.2
20,consistent,1.41
21,ct,2.02
22,dates,1.23
23,discharge,1.77
24,discharged,1.34
25,head,1.77
26,hem,1.16
27,infectious,1.42
28,intra,1.09
29,left,1.76
30,les,1.54
31,lesions,1.36
32,likely,1.04
33,lung,1.36
34,lungs,1.07
35,moderate,1.6
36,os,1.4
37,pl,1.12
38,radio,1.61
39,repeat,1.64
40,repeating,1.26
41,sac,1.53
42,secondary,1.22
43,service,1.19
44,stomach,1.16
45,studies,1.36
46,study,1.13
47,t,1.27
48,tb,1.45
49,tuberculosis,1.54
