,term,weight
0,#,1.34
1,##24,1.64
2,##4,1.21
3,##6,1.34
4,##ace,1.15
5,##ach,1.74
6,##ache,1.37
7,##ado,1.17
8,##ala,1.47
9,##alo,1.27
10,##aneous,1.17
11,##ani,1.48
12,##ap,1.16
13,##apa,1.33
14,##ast,1.96
15,##atal,1.35
16,##aton,1.5
17,##aud,1.44
18,##az,1.17
19,##bie,1.62
20,##bing,1.31
21,##bu,1.18
22,##bula,2.05
23,##cer,1.1
24,##chia,1.3
25,##cho,1.2
26,##cia,1.64
27,##cic,1.17
28,##cin,1.42
29,##cine,1.73
30,##cit,1.2
31,##com,1.46
32,##cous,1.5
33,##cut,1.19
34,##dation,1.56
35,##di,1.23
36,##dur,1.32
37,##emia,1.12
38,##ere,1.11
39,##ergy,1.54
40,##g,1.31
41,##ging,1.33
42,##git,1.8
43,##gly,1.6
44,##hala,1.16
45,##hee,1.59
46,##hor,1.38
47,##hora,1.18
48,##ina,1.14
49,##itor,1.41
50,##ium,1.17
51,##iva,2.12
52,##ix,1.52
53,##las,1.56
54,##ler,1.61
55,##less,1.46
56,##ln,1.67
57,##lo,1.12
58,##lot,1.33
59,##lter,2.08
60,##meter,1.77
61,##metric,1.71
62,##nch,1.53
63,##nia,1.56
64,##nt,1.3
65,##nting,1.24
66,##nx,1.59
67,##ob,1.78
68,##od,1.13
69,##odon,1.25
70,##oid,1.21
71,##oth,1.1
72,##otted,1.33
73,##ox,1.51
74,##par,1.81
75,##pine,1.68
76,##pr,1.38
77,##py,1.24
78,##rat,1.25
79,##raz,1.47
80,##rba,1.46
81,##ring,1.61
82,##rl,2.15
83,##rol,1.15
84,##rove,1.72
85,##ryn,1.28
86,##scu,1.73
87,##sol,1.14
88,##son,1.52
89,##ter,1.32
90,##terol,1.27
91,##tica,1.95
92,##tra,1.43
93,##tre,1.74
94,##tub,1.48
95,##uation,1.16
96,##ub,1.29
97,##uba,2.07
98,##ud,1.72
99,##ulation,1.25
100,##ule,1.09
101,##una,1.84
102,##ural,1.32
103,##uro,1.59
104,##ut,1.48
