,term,weight
0,##6,1.12
1,##ac,1.4
2,##aia,1.64
3,##atal,1.86
4,##az,1.24
5,##cin,1.17
6,##com,1.17
7,##cre,1.11
8,##din,1.63
9,##dur,1.28
10,##ean,1.33
11,##ema,1.41
12,##eo,1.16
13,##ergy,1.52
14,##eti,1.53
15,##eur,1.67
16,##far,1.22
17,##ff,1.43
18,##fo,1.25
19,##gb,1.25
20,##ia,1.15
21,##itor,1.25
22,##na,1.22
23,##nami,1.94
24,##ni,1.15
25,##nia,2.1
26,##nis,1.91
27,##nr,1.79
28,##ola,1.33
29,##ole,1.28
30,##omi,1.18
31,##one,1.06
32,##otho,1.87
33,##ox,1.77
34,##phine,1.49
35,##pm,1.31
36,##posed,1.39
37,##pr,1.2
38,##raz,1.44
39,##ril,1.53
40,##rl,1.71
41,##rr,1.2
42,##tial,1.44
43,##tine,2.02
44,##tour,1.63
45,##uba,2.14
46,##uma,1.62
47,##uria,1.29
48,##usion,1.43
49,##x,1.11
50,##xon,1.31
51,##yp,1.7
52,##ys,1.15
53,06,1.63
54,109,1.44
55,26,1.34
56,27,1.13
57,273,1.1
58,32,1.11
59,81,1.26
60,9,1.09
61,ab,1.17
62,abd,1.68
63,abnormal,1.44
64,accompanied,1.51
65,admission,1.79
66,allergic,1.1
67,alone,1.52
68,anterior,1.26
69,ap,1.54
70,attended,1.16
71,autopsy,1.67
72,bas,1.45
73,bedside,1.39
74,before,1.23
75,bid,1.45
76,bilateral,1.47
77,blood,1.12
78,bp,1.15
79,breathing,1.09
80,bs,1.21
81,cad,1.82
82,calcium,1.47
83,ch,1.44
84,chest,1.5
85,chief,1.45
86,chronic,1.46
87,ck,1.28
88,co,1.16
89,code,1.05
90,comfort,1.17
91,command,1.69
92,commands,1.16
93,complaint,1.71
94,complaints,1.23
95,congestion,1.97
96,consistent,1.26
97,cp,1.3
98,crack,1.2
99,cv,1.07
100,dates,1.26
101,decline,1.36
102,definite,1.69
103,dev,1.14
104,die,1.12
105,died,1.12
106,diffuse,1.86
107,discharge,1.85
108,discharged,1.56
109,discontinued,1.48
110,disposition,1.71
111,distress,1.34
112,drip,1.82
113,ed,1.27
114,ending,1.06
115,family,1.15
116,fate,1.14
117,fever,1.22
118,flu,1.03
119,follow,1.6
120,following,1.15
121,fulfilled,1.25
122,fur,1.14
123,gen,1.02
124,gu,1.26
125,hc,1.45
126,hd,2.02
127,her,1.94
128,hi,1.84
129,hiatus,1.84
130,history,1.13
131,impression,1.59
132,infiltrate,1.32
133,instructions,1.11
134,int,1.52
135,inter,1.62
136,invasive,1.52
137,iv,1.56
138,k,1.15
139,lac,1.16
140,left,1.6
141,lev,1.1
142,lie,1.15
143,limit,1.08
144,lobe,1.27
145,long,1.31
146,lying,1.25
147,mae,2.1
148,major,1.37
149,mb,1.34
150,mc,1.25
151,medication,1.09
152,mg,1.17
153,mono,1.36
154,mor,1.74
155,mother,1.13
156,na,1.51
157,nausea,1.53
158,nc,1.11
159,noted,1.14
160,nr,1.14
161,ns,1.38
162,nt,1.14
163,op,1.13
164,past,1.09
165,patient,1.17
166,pe,1.66
167,per,1.21
168,phrases,1.1
169,pl,1.18
170,pneumonia,1.79
171,portable,1.54
172,positive,1.09
173,pr,1.56
174,pre,1.61
175,predominantly,1.05
176,progressive,1.44
177,pt,1.22
178,pulmonary,1.19
179,q,1.74
180,rabbi,1.8
181,radio,1.23
182,rash,2.1
183,rb,1.23
184,rd,1.14
185,refusal,1.15
186,refused,1.37
187,rehab,1.72
188,rehabilitation,1.28
189,respiratory,1.34
190,results,1.28
191,rr,1.33
192,service,1.16
193,severe,1.51
194,she,1.27
195,simulate,1.38
196,sob,1.73
197,social,1.37
198,soft,1.36
199,stable,1.54
200,standing,1.15
201,status,1.29
202,ste,1.3
203,stool,1.83
204,structures,1.12
205,sul,1.99
206,super,1.21
207,surgical,1.34
208,ti,1.13
209,tiny,1.58
210,van,1.57
211,vascular,1.28
212,vomiting,1.39
213,wb,1.37
214,zone,1.42
215,zones,1.15
