,term,weight
0,ur,1.02
1,ana,1.2
2,life,0.44
3,retain,1.32
4,suffered,0.86
5,date,0.3
6,les,1.21
7,poly,1.17
8,##elo,1.86
9,bp,1.4
10,identical,1.62
11,month,0.32
12,was,0.27
13,leukemia,0.54
14,murder,0.24
15,##iva,1.23
16,##phy,1.46
17,estimated,1.22
18,##scopic,1.46
19,##opa,1.08
20,##ove,1.38
21,##scu,1.4
22,##sic,1.37
23,macro,1.69
24,lesions,1.45
25,age,1.09
26,type,1.18
27,up,0.78
28,bp,1.38
29,hospital,0.61
30,tumor,0.93
31,touched,1.0
32,had,0.87
33,##oma,0.95
34,late,0.36
35,##tou,1.82
36,acute,1.85
37,##ule,1.25
38,prostate,1.93
39,years,1.05
40,old,1.55
41,##ination,1.54
42,follow,1.64
43,away,0.22
44,homogeneous,2.11
45,##is,1.07
46,episode,1.15
47,##static,2.21
48,ur,1.38
49,died,1.42
50,immediate,1.33
51,aa,1.26
52,res,1.45
53,##plication,0.81
54,antibodies,1.16
55,disease,0.46
56,period,0.31
57,touch,1.68
58,##al,0.99
59,confirmed,1.07
60,aden,1.09
61,ultra,1.04
62,pro,1.81
63,survival,0.38
64,soon,0.78
65,ago,0.54
66,##pod,1.82
67,##ules,1.2
68,diagnosis,0.23
69,presence,1.08
70,cure,0.32
71,him,0.34
72,cancer,0.99
73,bo,1.61
74,diagnosed,0.27
75,prostate,1.98
76,##ection,1.53
77,urine,1.48
78,##static,1.96
79,immediately,0.62
80,flexible,1.85
81,amy,1.31
82,##copic,1.73
83,##sic,2.02
84,ultrasound,1.51
85,deposits,1.35
86,months,0.66
87,het,1.31
88,##pods,1.06
89,##tro,1.36
90,simple,0.37
91,he,0.72
92,##he,1.24
93,surgery,0.57
94,but,0.34
95,mr,1.87
96,##los,1.85
97,end,1.33
98,following,0.91
99,yes,0.37
100,patient,1.21
101,hyper,1.48
102,##los,1.59
103,renal,1.38
104,amy,1.77
105,##os,1.26
106,followed,0.47
107,early,0.46
108,##tial,1.27
109,complications,1.3
110,70,1.12
111,concluded,1.3
112,retention,1.84
113,##elo,1.57
114,patients,0.73
115,##uma,1.29
116,e,1.8
117,performed,1.14
118,##tom,1.09
119,grams,1.76
120,les,1.66
121,pro,1.14
122,his,1.15
123,deposit,1.12
124,gram,1.15
125,##loid,1.61
126,later,1.16
127,inter,1.05
128,my,1.11
129,appearance,1.0
130,diffuse,1.82
131,al,1.66
132,##tal,1.6
133,ve,1.38
134,##mun,0.98
135,die,1.29
136,lesions,1.15
137,red,1.25
138,##ma,1.0
139,long,1.24
140,arthritis,1.68
141,rec,1.65
142,rigid,1.06
143,flex,1.49
144,tissue,1.51
145,death,1.21
146,r,1.01
147,45,1.17
148,failed,0.73
149,##chemist,1.1
