,term,weight
0,scanner,1.68
1,suspicion,1.39
2,initiate,0.82
3,clinical,0.89
4,treatments,0.59
5,primitive,2.61
6,##oda,1.08
7,year,0.52
8,##sic,1.79
9,##hra,1.83
10,type,1.12
11,therapy,0.71
12,##ph,0.95
13,##no,1.13
14,##ula,1.28
15,cr,0.9
16,##cino,1.71
17,##ology,1.49
18,initiation,0.62
19,##eu,1.72
20,##rage,2.28
21,50,1.19
22,period,0.61
23,pain,1.12
24,l,1.63
25,k,1.89
26,##ve,1.22
27,##ffey,2.62
28,d,1.09
29,##isto,1.17
30,abd,2.01
31,patients,0.57
32,##ly,0.99
33,ur,1.64
34,##logical,1.46
35,##ine,0.65
36,savage,1.19
37,retention,1.75
38,pe,1.53
39,cu,1.26
40,decline,1.63
41,admitted,1.26
42,cancer,1.07
43,va,1.14
44,##omy,1.26
45,diabetes,1.46
46,##vi,1.37
47,anterior,1.86
48,intermittent,2.0
49,##sta,1.25
50,extension,1.49
51,acute,1.74
52,p,1.55
53,control,1.27
54,normal,1.26
55,consultation,1.14
56,##is,0.81
57,##tura,1.64
58,##rit,1.52
59,declining,1.08
60,controlled,0.73
61,confirmed,1.06
62,##ma,1.16
63,bilateral,1.73
64,ad,1.08
65,anterior,1.84
66,long,1.15
67,nevertheless,0.69
68,##nia,1.5
69,car,1.14
70,##rr,1.51
71,##ea,1.26
72,scan,1.34
73,vu,1.44
74,hard,1.07
75,treated,1.15
76,##rc,1.01
77,tumor,1.42
78,touch,1.74
79,##gia,1.41
80,##sic,1.46
81,##ju,1.75
82,urine,1.47
83,##ym,1.3
84,consult,0.79
85,admission,1.16
86,##logical,1.34
87,##eth,1.63
88,patient,0.76
89,arthritis,0.61
90,##phon,1.93
91,meta,1.63
92,fist,1.79
93,medical,0.51
94,##vian,2.48
95,##ino,1.46
96,initiated,0.93
97,##logic,0.86
98,ur,1.66
99,##ye,1.88
100,ce,1.19
101,retain,1.21
102,##vant,2.05
103,bio,1.52
104,persistent,1.45
105,##psy,1.66
106,age,1.49
107,##ys,1.45
108,episode,1.25
109,##tin,1.07
110,##omi,1.78
111,##gm,1.49
112,##eter,1.56
113,##lone,1.42
114,##eth,1.93
115,##to,1.08
116,episodes,0.76
117,##sto,1.37
118,##sco,1.62
119,chronic,1.31
120,##par,1.44
121,##lva,1.78
122,il,1.29
123,ms,1.85
124,associated,1.2
125,his,1.33
126,years,1.12
127,diagnosis,1.21
128,ur,1.21
129,no,0.57
130,department,1.45
131,##ginal,1.4
132,old,1.19
133,treatment,0.98
134,bud,1.78
135,base,1.42
136,##bet,1.74
137,##oca,1.12
138,after,0.63
139,##logist,0.84
140,dia,1.12
141,mobile,1.2
142,aden,1.23
143,##ro,1.11
144,ul,1.14
145,radio,1.55
146,##vic,1.02
147,yes,1.04
148,controls,0.71
149,tumor,1.51
