,term,weight
0,ur,1.27
1,##ure,1.71
2,##sto,1.73
3,surface,1.37
4,macro,1.94
5,##ivated,1.26
6,cave,2.2
7,##po,1.77
8,death,1.01
9,old,1.22
10,##opa,1.56
11,like,1.29
12,intra,1.64
13,##tri,1.18
14,systemic,1.59
15,il,2.0
16,##los,1.06
17,bladder,1.93
18,##llary,1.57
19,g,1.31
20,examination,1.24
21,hydro,1.43
22,##dic,1.92
23,mr,1.21
24,##ex,1.34
25,##ical,1.47
26,ni,2.33
27,##ema,1.68
28,##d,1.42
29,##th,1.07
30,proliferation,1.75
31,##eter,1.56
32,##mour,1.55
33,right,1.82
34,identified,0.98
35,##mour,1.29
36,front,1.16
37,his,1.4
38,ur,1.46
39,##sco,1.61
40,##ves,1.44
41,ha,1.28
42,aden,1.25
43,##id,1.21
44,renal,1.52
45,##logical,1.68
46,che,0.97
47,##logies,1.62
48,##tom,1.38
49,differentiation,1.35
50,##cino,1.39
51,##ain,1.46
52,##scu,1.34
53,cancer,1.03
54,trans,1.68
55,tumor,1.49
56,les,1.52
57,##cta,1.34
58,side,1.29
59,##oth,1.26
60,##ito,1.63
61,les,1.25
62,balance,1.93
63,##tur,2.03
64,##rosis,1.3
65,associated,0.98
66,component,1.13
67,poly,1.95
68,##ral,1.58
69,##ot,1.38
70,retro,2.02
71,lap,1.63
72,lung,1.25
73,responsible,1.15
74,age,1.37
75,##eta,1.02
76,##gonal,1.57
77,res,1.51
78,##to,1.29
79,tu,1.17
80,chemotherapy,1.53
81,eng,1.3
82,##elial,1.3
83,##elial,1.55
84,##aro,1.58
85,lesions,1.37
86,##ection,1.58
87,##pi,1.0
88,hospitalized,1.14
89,##filtration,1.72
90,dome,2.27
91,##py,1.14
92,##scopic,1.61
93,caves,1.38
94,asbestos,2.08
95,extension,1.64
96,##nea,1.37
97,##media,1.79
98,cy,1.56
99,##kel,0.96
