,term,weight
0,##bag,1.29
1,ant,1.29
2,chest,1.54
3,anti,1.22
4,elevation,1.61
5,heart,1.42
6,cardiovascular,1.15
7,beating,1.28
8,pd,1.56
9,favor,1.19
10,##graphic,1.14
11,long,1.05
12,##ol,1.08
13,##sen,1.03
14,access,1.83
15,##rone,1.61
16,##chy,1.34
17,failure,1.22
18,##pit,2.01
19,##rdial,1.17
20,diabetes,1.15
21,favour,1.47
22,admission,1.47
23,##ota,1.03
24,speed,0.95
25,##op,0.99
26,account,0.85
27,1200,1.22
28,prior,0.92
29,lip,1.4
30,reveal,0.93
31,##chy,1.39
32,##jee,2.26
33,ultrasound,1.98
34,rhythmic,1.51
35,character,1.09
36,cardiac,0.89
37,evidence,1.06
38,waves,0.96
39,stable,1.12
40,##card,0.93
41,##oma,1.48
42,markers,1.45
43,max,1.0
44,rep,1.36
45,rapidly,0.86
46,hem,1.05
47,##card,0.92
48,age,0.99
49,ultra,1.45
50,ta,1.55
51,history,0.97
52,##ea,0.89
53,##ys,1.35
54,consult,1.03
55,ami,2.14
56,##oda,1.68
57,broad,1.62
58,##mic,1.29
59,argument,1.12
60,male,1.34
61,nec,1.84
62,yes,0.99
63,first,1.35
64,sync,1.9
65,##dro,1.96
66,pressure,1.04
67,wolff,2.68
68,before,1.24
69,intake,2.07
70,biologist,0.97
71,sept,1.44
72,##ia,1.26
73,apical,1.82
74,whites,1.09
75,##ym,1.38
76,ta,1.69
77,marker,1.34
78,absence,1.23
79,##rh,0.96
80,consultation,1.7
81,sin,1.61
82,##oth,1.3
83,##ia,1.0
84,pal,1.57
85,##olar,2.14
86,##cation,1.05
87,diseases,0.98
88,examination,0.92
89,chatter,2.55
90,d,0.89
91,resort,1.63
92,negative,1.11
93,heart,1.25
94,context,1.25
95,my,1.07
96,had,0.96
97,clinical,1.43
98,ar,1.18
99,no,1.34
100,warning,1.06
101,man,1.13
102,rest,1.34
103,parkinson,2.12
104,electric,1.76
105,res,0.93
106,detect,0.87
107,risk,1.07
108,##od,0.87
109,##oca,1.32
110,rhythm,1.11
111,old,1.63
112,ultra,1.57
113,pain,1.03
114,50,1.11
115,##rill,1.52
116,beat,1.45
117,##hmi,1.32
118,well,1.13
119,##no,1.28
120,persistent,1.53
121,##ope,1.24
122,dose,1.33
123,heart,1.38
124,minute,1.51
125,tr,1.12
126,mg,1.45
127,white,1.94
128,bag,1.04
129,##yna,1.36
130,##utive,1.41
131,persistent,1.26
132,##sit,1.46
133,##oni,1.91
134,##ib,1.15
135,def,1.38
136,electro,1.5
137,revealed,0.98
138,##gram,1.4
139,tolerated,1.01
140,delta,1.83
141,##rosis,2.07
142,electrical,1.16
143,##hyl,1.08
144,##che,2.01
145,charge,1.46
146,presence,0.93
147,syndrome,1.3
148,dos,1.06
149,##xi,1.44
