,term,weight
0,adequate,1.13
1,##rom,1.53
2,ass,1.27
3,urine,1.63
4,##ina,1.2
5,consult,1.0
6,mo,0.86
7,fit,2.3
8,extend,0.71
9,fast,1.09
10,spec,1.32
11,##ym,1.45
12,nickel,2.86
13,exposure,1.19
14,##ea,1.49
15,##xa,1.42
16,stop,1.27
17,public,1.23
18,##tin,1.25
19,##b,0.86
20,patients,0.83
21,survey,0.73
22,patient,0.99
23,mg,0.92
24,high,1.1
25,remove,0.93
26,right,1.33
27,##tin,1.23
28,max,0.87
29,biological,1.39
30,worried,0.74
31,##thermal,2.03
32,ex,1.14
33,%,1.21
34,ch,1.44
35,##yn,1.52
36,removal,1.44
37,protected,0.92
38,##os,1.08
39,center,1.47
40,first,0.97
41,prior,0.65
42,not,0.98
43,##inating,1.45
44,spectroscopy,0.82
45,##ini,1.27
46,regain,1.24
47,road,1.35
48,patient,0.95
49,surgical,1.55
50,painter,1.2
51,atomic,1.61
52,employee,1.54
53,##uria,1.84
54,fe,1.46
55,occupational,1.98
56,dose,1.38
57,authorities,0.77
58,gear,0.74
59,temporary,1.37
60,##ine,0.91
61,recover,1.18
62,##lts,1.71
63,context,0.8
64,##den,1.29
65,as,0.77
66,##ea,1.35
67,respiratory,1.49
68,level,1.35
69,strangled,0.85
70,paint,1.42
71,occupational,1.96
72,daily,1.05
73,risks,0.71
74,case,0.74
75,return,1.05
76,population,0.93
77,objectives,0.79
78,manufactured,0.67
79,kidney,1.08
80,aviation,1.42
81,metallic,2.24
82,##uria,1.72
83,renal,1.65
84,##rom,1.6
85,visit,0.97
86,##tin,1.34
87,##ina,1.27
88,##trom,1.46
89,cr,1.12
90,protective,0.91
91,remove,0.77
92,work,0.86
93,found,0.78
94,fractures,1.32
95,guide,1.01
96,element,1.05
97,cent,0.88
98,##valent,1.95
99,subject,1.06
100,worrying,0.8
101,exam,0.82
102,worker,0.95
103,personal,1.01
104,september,0.78
105,plaque,2.26
106,kidney,1.29
107,ch,1.53
108,removal,1.28
109,targets,1.39
110,employee,1.38
111,##pl,1.01
112,new,1.14
113,standard,0.69
114,##rom,1.48
115,metals,1.38
116,##mar,1.11
117,g,0.85
118,##mur,1.85
119,persistence,0.8
120,exceeded,1.01
121,dose,0.75
122,accidents,1.03
123,fe,1.05
124,en,2.23
125,after,1.03
126,2011,0.96
127,right,1.55
128,in,0.79
129,##rom,1.46
130,max,0.84
131,removal,0.94
132,forms,0.76
133,employee,0.81
134,france,0.89
135,balance,1.33
136,ch,1.66
137,toxic,1.36
138,employee,1.11
139,clinical,1.29
140,post,1.81
141,doctors,0.86
142,prove,0.79
143,consist,0.9
144,monitoring,1.17
145,normal,1.23
146,biological,1.61
147,months,0.99
148,concentration,0.85
149,placed,1.29
150,ch,1.64
151,performed,1.02
152,##xa,1.35
153,post,1.54
154,##mur,2.26
155,colleagues,1.04
156,indicated,0.76
157,para,1.7
158,os,1.84
159,physician,0.95
160,recommended,1.24
161,metal,1.18
162,long,1.23
163,##rom,1.59
164,percent,1.05
165,##ina,1.26
166,materials,1.12
167,occupational,2.23
168,doctors,0.99
169,results,0.98
170,balance,1.69
171,##tion,0.71
172,##ay,1.2
173,persistent,1.11
174,find,0.73
175,check,1.28
176,sa,1.45
177,##ina,1.24
178,imp,1.78
179,quan,1.31
180,systematic,2.23
181,##ted,0.76
182,##ti,0.83
183,exam,0.81
184,week,0.77
185,##rim,1.72
186,##ium,1.72
187,poison,1.84
188,##fy,0.77
189,balancing,0.98
190,accountable,0.84
191,mg,0.96
192,recovery,0.7
193,general,0.88
194,quickly,1.08
195,impact,0.92
196,cr,1.32
197,##te,1.36
198,persist,1.13
199,##ile,1.56
200,##ium,1.7
201,except,0.99
202,##inate,1.08
203,doctor,1.16
204,replacement,0.92
205,##ization,0.95
206,imp,1.91
207,33,1.19
208,os,1.93
209,ch,1.48
210,##um,1.17
211,##nce,1.23
212,protection,0.95
213,test,0.82
214,man,1.13
215,ur,1.41
216,ur,1.16
217,error,0.95
218,examination,1.05
219,##oma,1.35
220,sa,2.36
221,##ine,0.95
222,cr,2.25
223,##ea,1.39
224,occupational,1.77
225,arrest,1.58
226,treatments,0.73
227,##re,0.91
228,##pt,0.94
229,painting,1.47
230,surgery,1.19
231,##ly,1.21
232,mg,0.82
233,without,1.02
234,posted,0.99
235,patients,0.73
236,patient,0.89
237,studies,0.78
238,##anta,1.71
239,period,0.76
240,exposed,1.23
241,he,1.16
242,technique,1.03
243,vi,0.83
244,intact,0.82
245,arrested,1.35
246,absorb,1.11
247,##yn,1.67
248,##ea,1.62
249,posted,0.72
250,assess,0.83
251,company,0.95
252,micro,1.53
253,dos,1.08
254,dose,0.83
255,exposed,1.21
256,mo,1.69
257,plaques,1.05
258,##um,0.81
259,##te,1.43
260,work,0.9
261,##gna,1.89
262,discovered,0.82
263,radius,1.74
264,patients,0.94
265,results,1.0
266,objective,1.78
267,fracture,1.4
268,doctors,0.94
269,##rus,1.43
270,##um,1.01
271,##ea,1.25
272,levels,0.85
273,test,0.91
274,##ly,0.77
275,hygiene,1.41
276,ur,1.25
277,painting,1.08
278,##gna,1.87
279,position,1.3
280,paint,0.77
281,absorption,1.85
282,french,1.19
283,##ae,1.67
284,recovered,0.96
285,##rom,1.5
286,total,0.99
287,years,0.92
288,##thesis,1.63
289,album,1.58
290,2012,0.73
291,##tion,0.64
292,decided,0.74
293,potential,0.95
294,equipment,1.64
295,material,1.31
296,dose,0.94
297,##valent,1.62
298,##yn,1.28
299,mg,0.91
300,ch,1.45
301,level,1.13
302,dos,1.17
303,manufacturer,0.91
304,extra,1.18
305,exposure,1.33
306,element,0.88
307,yes,0.75
308,pregnancy,0.94
309,proposed,1.34
310,result,0.7
311,normal,1.25
312,long,1.08
313,g,0.75
314,hypothesis,1.77
315,##tify,0.75
316,exposed,1.2
317,##t,1.45
318,ur,1.36
319,fitted,0.75
320,temporarily,1.03
321,##lt,1.51
322,##ump,2.35
323,metal,1.45
324,##ium,1.78
325,centers,0.7
326,fitting,0.88
327,used,0.86
328,change,0.98
329,##tin,1.35
330,ur,1.59
331,concentrations,1.15
332,nickel,1.89
333,level,0.77
334,renal,1.64
335,return,0.97
336,urine,0.64
337,posted,0.67
338,os,1.49
339,gear,1.16
340,aircraft,1.02
341,target,1.11
342,##ig,0.71
343,level,0.75
344,inserted,0.76
345,exposure,1.42
346,standards,1.02
347,confirmed,1.16
348,max,0.7
349,##rom,1.49
350,##re,1.04
351,res,1.3
352,test,0.88
353,hume,1.8
354,ni,1.0
355,prison,0.7
356,normal,1.61
357,strangled,0.72
358,accountability,1.55
359,##ium,1.64
360,comparable,0.89
361,imp,1.68
362,cr,1.24
363,treatment,0.89
364,always,0.8
365,exceed,0.78
366,notified,1.2
367,responsibility,0.91
368,##cre,1.91
369,permanently,0.68
370,fracture,0.78
371,##ly,0.95
372,##cl,0.99
373,occupational,2.01
374,true,0.72
375,ch,1.4
376,hypothesis,1.34
377,exposed,0.97
378,##tin,1.17
379,high,0.72
380,employees,1.06
381,professional,1.06
382,eliminated,0.7
383,returning,0.7
384,study,1.05
385,material,1.24
386,unfit,1.06
387,##den,1.6
388,toxic,1.58
389,##b,1.0
390,balancing,0.84
391,sum,1.0
392,declared,1.2
393,equipment,1.07
394,##gna,1.93
395,individual,0.92
396,correct,0.78
397,long,1.03
398,normal,1.45
399,cub,1.84
400,##cal,1.07
401,found,1.33
402,##uria,1.78
403,december,0.93
404,remaining,0.69
405,cause,0.91
406,accident,1.24
407,proved,1.33
408,max,1.01
409,positions,1.48
410,cr,1.6
411,age,1.13
412,##ium,1.73
413,##os,1.15
414,##it,1.41
415,##ium,1.48
416,remove,1.05
417,left,1.39
418,levels,0.64
419,status,1.7
420,months,0.86
421,##page,1.43
422,doctor,1.02
423,ur,1.54
424,ur,1.29
425,cr,1.08
426,kidney,1.02
427,collective,2.16
428,##long,1.15
429,renal,1.86
430,contamination,0.71
431,##thesis,1.42
432,genetic,0.76
433,2012,0.77
434,multiple,1.63
435,errors,1.34
436,##te,1.1
437,cr,1.81
438,employees,1.15
439,ch,1.49
440,removal,1.24
441,value,0.9
442,caused,1.07
443,##ine,1.03
444,dose,1.03
445,doctor,1.15
446,lung,0.92
447,advise,0.69
448,electro,1.72
449,surgical,1.1
450,ex,0.87
451,serum,1.3
452,he,0.97
453,existence,0.71
454,mo,1.32
455,doctor,0.83
456,ur,1.15
457,advice,1.23
458,si,1.37
459,mg,1.38
460,cr,1.19
461,##ov,1.56
462,protect,0.97
463,##ine,0.94
464,month,1.09
465,post,1.27
466,examination,0.97
467,##tin,1.39
468,eliminate,1.3
469,unchanged,1.31
470,monitor,1.07
471,subjected,1.13
472,max,0.78
473,##ized,0.83
474,patient,0.88
475,extended,0.72
476,after,0.9
477,employees,0.96
478,evolution,1.65
479,evolve,0.9
480,airline,1.54
481,breathing,1.16
482,##den,1.8
483,##ea,1.36
484,##ae,2.52
485,techniques,1.08
486,old,1.6
487,whole,1.04
488,##tin,1.12
489,inc,1.11
490,immediately,0.7
491,mg,1.01
492,l,0.79
