,term,weight
0,bio,0.74
1,reduce,1.02
2,dos,1.3
3,please,0.63
4,injection,0.86
5,hospital,0.62
6,aden,1.55
7,morning,1.12
8,treated,0.67
9,##pa,1.2
10,women,1.0
11,soon,0.74
12,##ection,1.66
13,##rad,1.6
14,##sit,1.25
15,patients,0.58
16,hospitals,0.93
17,oxygen,1.8
18,##chemical,0.88
19,administer,0.72
20,pressure,1.75
21,period,0.61
22,breathing,1.29
23,##ep,0.97
24,later,0.89
25,patient,1.29
26,blood,1.21
27,drug,0.8
28,pre,0.89
29,##mine,1.1
30,reduce,0.68
31,##ivity,1.06
32,oral,0.98
33,cycle,1.16
34,treatment,1.13
35,back,0.74
36,##osi,1.61
37,patient,0.97
38,result,0.81
39,administered,1.0
40,minute,0.95
41,fifty,0.79
42,after,0.74
43,agreed,0.9
44,monitor,0.84
45,rate,0.92
46,3,1.24
47,50,1.25
48,face,1.01
49,##ously,0.8
50,home,1.43
51,left,0.75
52,tumor,0.72
53,##her,1.12
54,pre,1.34
55,after,1.19
56,##atin,1.62
57,vital,1.63
58,##mine,1.73
59,exception,0.69
60,return,1.32
61,##hy,0.8
62,##tron,2.09
63,fully,1.16
64,oral,1.16
65,sleep,1.47
66,agents,1.15
67,parameters,0.81
68,##time,1.05
69,medication,1.16
70,first,1.15
71,drug,0.91
72,ml,1.21
73,size,1.07
74,##ze,1.46
75,##mide,0.73
76,combination,0.99
77,finally,0.9
78,max,0.73
79,patient,1.38
80,patient,1.13
81,stage,1.46
82,pound,0.89
83,##sit,1.34
84,intra,1.26
85,prem,1.87
86,prescribed,0.91
87,patients,0.92
88,first,1.13
89,long,1.45
90,surgical,1.41
91,administered,1.11
92,during,0.72
93,chemotherapy,0.62
94,##ea,1.56
95,10,0.84
96,arrival,1.16
97,administration,1.87
98,un,0.99
99,hospital,1.14
100,normal,1.12
101,monitoring,1.06
102,mm,0.84
103,initiation,0.84
104,complete,0.77
105,##icate,1.12
106,##ling,1.65
107,dos,1.25
108,signs,0.92
109,instead,1.12
110,allergic,1.56
111,recovery,0.71
112,##raz,1.97
113,##che,1.65
114,she,1.05
115,##mp,1.01
