,term,weight
0,revealed,1.11
1,rep,1.15
2,tu,1.26
3,sixty,1.12
4,study,1.22
5,##chemist,0.53
6,enlarged,1.31
7,ha,1.08
8,diffuse,1.7
9,1a,1.16
10,ultra,1.41
11,##bu,1.72
12,##yp,1.86
13,chest,1.62
14,electro,1.55
15,##f,1.21
16,retain,1.3
17,##gen,1.18
18,##gram,1.37
19,##loid,1.47
20,##mine,1.86
21,kidney,1.97
22,macro,1.68
23,positive,1.68
24,##elial,1.62
25,##mour,1.48
26,##scopic,1.44
27,examination,1.12
28,whitish,0.9
29,of,0.57
30,##34,1.86
31,elevated,1.26
32,capsule,1.71
33,##us,0.99
34,tumor,1.55
35,tumors,1.16
36,macro,1.66
37,##mour,1.46
38,##phi,1.15
39,##chemical,1.34
40,sent,1.15
41,##ori,1.99
42,activity,1.23
43,straight,1.45
44,c,1.48
45,##rc,0.9
46,studies,1.08
47,hillary,0.95
48,soon,0.62
49,##sc,0.93
50,alternate,1.27
51,heart,0.9
52,del,1.16
53,traps,1.02
54,##cle,1.24
55,limits,0.87
56,cells,1.12
57,##ron,1.12
58,stage,0.52
59,##ina,1.31
60,start,0.98
61,##hu,1.49
62,##ums,0.93
63,aspect,0.87
64,right,1.95
65,possible,1.07
66,cancer,0.98
67,##v,1.2
68,dna,1.12
69,anti,1.39
70,kit,1.24
71,60,1.46
72,pole,2.08
73,tumor,1.42
74,right,1.69
75,negative,1.37
76,##it,1.71
77,renal,1.66
78,pain,1.06
79,##logist,0.74
80,##oni,2.01
81,reveal,1.1
82,##bro,1.69
83,negative,1.86
84,acute,1.78
85,res,1.08
86,tumor,1.9
87,analysis,0.97
88,confirmed,0.96
89,##ril,1.88
90,##imi,1.42
91,cancer,1.18
92,hyper,2.03
93,trap,1.72
94,fu,1.95
95,##tom,1.53
96,patients,0.67
97,renal,1.89
98,##lt,1.23
99,##ex,1.83
100,##ith,1.51
101,cm,1.2
102,dense,1.61
103,symptoms,1.08
104,thyroid,1.05
105,upper,1.32
106,##bro,1.33
107,##isto,1.58
108,pathology,0.85
109,elongated,1.82
110,old,1.45
111,keep,0.59
112,focal,1.75
113,abdominal,1.16
114,im,1.13
115,##isto,1.32
116,k,1.54
117,vascular,1.48
118,##tis,1.43
119,flow,1.83
120,ct,1.74
121,##ult,1.91
122,het,1.67
123,ev,1.64
124,##dle,1.45
125,ang,1.55
126,116,1.57
127,fi,1.41
128,nec,1.16
129,##rdial,0.99
130,tr,1.42
131,his,1.13
132,##far,1.68
133,##mun,1.62
134,##mun,1.37
135,st,1.21
136,d,0.99
137,years,1.17
138,##re,0.94
139,height,1.12
140,ser,1.21
141,renal,1.51
142,virus,1.1
143,homogeneous,1.19
144,ace,2.44
145,microscopic,0.85
146,115,1.35
147,norm,1.35
148,underlying,1.54
149,##oca,1.67
150,##lage,1.9
151,##ologies,1.57
152,normal,1.23
153,##otic,1.44
154,evolve,0.69
155,architect,1.0
156,masses,1.24
157,pole,1.85
158,ep,1.33
159,position,0.92
160,##ffle,1.82
161,spin,1.73
162,high,0.97
163,solitary,2.29
164,##100,2.22
165,kidney,1.9
166,##logic,0.45
167,tumors,0.81
168,management,1.03
169,##ph,1.09
170,ultrasound,1.75
171,##emia,1.39
172,poles,0.97
173,##cellular,1.68
174,##si,1.57
175,kits,1.47
176,##dles,1.42
177,cut,0.99
178,ul,2.0
179,##zation,1.24
180,##scopic,1.53
181,mass,1.84
182,par,1.45
183,##ibe,1.29
184,##ytic,1.34
185,go,1.56
186,separate,0.96
187,coloration,0.91
188,vessels,1.1
189,##top,1.13
190,##oh,0.85
191,cd,1.74
192,extended,1.2
193,##chy,1.13
194,##rdi,1.52
195,##sack,2.1
196,##irus,1.22
197,color,1.03
198,maintain,0.77
199,my,0.89
200,feb,1.66
201,hilary,1.56
202,mit,1.61
203,##op,1.19
204,##osi,1.67
205,cancer,1.14
206,smooth,2.27
207,mn,1.96
208,des,1.63
209,diameter,1.28
210,evolving,0.45
211,mass,1.73
212,##mus,1.58
213,reactive,1.95
214,34,1.19
215,architecture,1.78
216,vi,1.79
217,eliminate,1.43
218,characterized,1.08
219,cm,1.9
220,##fusion,1.57
221,##ni,1.28
222,probable,0.51
223,diagnosed,0.88
224,microscopy,1.55
225,markers,1.51
