,term,weight
45,##uba,2.14
25,##nia,2.1
182,rash,2.1
147,mae,2.1
43,##tine,2.02
126,hd,2.02
205,sul,1.99
95,congestion,1.97
127,her,1.94
23,##nami,1.94
26,##nis,1.91
32,##otho,1.87
3,##atal,1.86
106,diffuse,1.86
107,discharge,1.85
128,hi,1.84
129,hiatus,1.84
203,stool,1.83
112,drip,1.82
81,cad,1.82
180,rabbi,1.8
65,admission,1.79
170,pneumonia,1.79
27,##nr,1.79
33,##ox,1.77
154,mor,1.74
179,q,1.74
196,sob,1.73
187,rehab,1.72
93,complaint,1.71
110,disposition,1.71
40,##rl,1.71
51,##yp,1.7
102,definite,1.69
91,command,1.69
62,abd,1.68
15,##eur,1.67
71,autopsy,1.67
166,pe,1.66
2,##aia,1.64
8,##din,1.63
44,##tour,1.63
53,06,1.63
135,inter,1.62
46,##uma,1.62
174,pre,1.61
140,left,1.6
119,follow,1.6
131,impression,1.59
209,tiny,1.58
210,van,1.57
108,discharged,1.56
137,iv,1.56
173,pr,1.56
199,stable,1.54
171,portable,1.54
69,ap,1.54
39,##ril,1.53
14,##eti,1.53
157,nausea,1.53
67,alone,1.52
134,int,1.52
136,invasive,1.52
13,##ergy,1.52
193,severe,1.51
156,na,1.51
64,accompanied,1.51
84,chest,1.5
34,##phine,1.49
109,discontinued,1.48
82,calcium,1.47
76,bilateral,1.47
86,chronic,1.46
75,bid,1.45
125,hc,1.45
85,chief,1.45
72,bas,1.45
54,109,1.44
176,progressive,1.44
42,##tial,1.44
63,abnormal,1.44
83,ch,1.44
38,##raz,1.44
17,##ff,1.43
48,##usion,1.43
214,zone,1.42
11,##ema,1.41
1,##ac,1.4
36,##posed,1.39
73,bedside,1.39
212,vomiting,1.39
195,simulate,1.38
161,ns,1.38
197,social,1.37
213,wb,1.37
186,refused,1.37
148,major,1.37
101,decline,1.36
198,soft,1.36
153,mono,1.36
55,26,1.34
207,surgical,1.34
189,respiratory,1.34
111,distress,1.34
149,mb,1.34
191,rr,1.33
28,##ola,1.33
10,##ean,1.33
132,infiltrate,1.32
35,##pm,1.31
50,##xon,1.31
145,long,1.31
97,cp,1.3
202,ste,1.3
47,##uria,1.29
201,status,1.29
29,##ole,1.28
211,vascular,1.28
87,ck,1.28
9,##dur,1.28
188,rehabilitation,1.28
190,results,1.28
194,she,1.27
113,ed,1.27
144,lobe,1.27
68,anterior,1.26
124,gu,1.26
96,consistent,1.26
59,81,1.26
100,dates,1.26
146,lying,1.25
18,##fo,1.25
19,##gb,1.25
150,mc,1.25
21,##itor,1.25
121,fulfilled,1.25
4,##az,1.24
183,rb,1.23
74,before,1.23
181,radio,1.23
94,complaints,1.23
16,##far,1.22
177,pt,1.22
117,fever,1.22
22,##na,1.22
80,bs,1.21
206,super,1.21
167,per,1.21
98,crack,1.2
37,##pr,1.2
41,##rr,1.2
178,pulmonary,1.19
169,pl,1.18
30,##omi,1.18
61,ab,1.17
165,patient,1.17
90,comfort,1.17
5,##cin,1.17
152,mg,1.17
6,##com,1.17
70,attended,1.16
88,co,1.16
139,lac,1.16
192,service,1.16
12,##eo,1.16
92,commands,1.16
200,standing,1.15
185,refusal,1.15
215,zones,1.15
115,family,1.15
24,##ni,1.15
120,following,1.15
78,bp,1.15
138,k,1.15
52,##ys,1.15
142,lie,1.15
20,##ia,1.15
159,noted,1.14
162,nt,1.14
116,fate,1.14
103,dev,1.14
122,fur,1.14
160,nr,1.14
184,rd,1.14
130,history,1.13
56,27,1.13
163,op,1.13
208,ti,1.13
155,mother,1.13
204,structures,1.12
77,blood,1.12
105,died,1.12
104,die,1.12
0,##6,1.12
58,32,1.11
7,##cre,1.11
49,##x,1.11
158,nc,1.11
133,instructions,1.11
66,allergic,1.1
57,273,1.1
141,lev,1.1
168,phrases,1.1
60,9,1.09
164,past,1.09
79,breathing,1.09
151,medication,1.09
172,positive,1.09
143,limit,1.08
99,cv,1.07
31,##one,1.06
114,ending,1.06
89,code,1.05
175,predominantly,1.05
118,flu,1.03
123,gen,1.02
