,term,weight
36,bypass,1.89
116,status,1.85
48,course,1.81
25,##tub,1.77
89,pacing,1.76
94,per,1.76
20,##quist,1.76
23,##sop,1.74
63,elect,1.73
106,ram,1.73
44,complaint,1.71
3,##co,1.71
30,admission,1.7
103,primary,1.7
55,discharge,1.69
15,##mma,1.68
52,descending,1.67
115,stable,1.65
11,##het,1.64
21,##raz,1.64
7,##ert,1.64
1,##bula,1.63
64,follow,1.63
47,corona,1.62
99,post,1.62
57,discontinued,1.61
72,kc,1.61
40,chest,1.6
104,q,1.6
17,##oga,1.57
54,die,1.56
39,cat,1.56
124,transferred,1.55
41,chief,1.53
100,posterior,1.53
2,##ce,1.52
16,##nta,1.52
76,left,1.51
19,##oper,1.51
84,nico,1.5
9,##gan,1.48
37,cardiac,1.47
66,graf,1.47
117,surgery,1.45
70,hospital,1.45
49,courses,1.44
43,cola,1.43
85,old,1.43
68,history,1.41
108,sap,1.41
77,long,1.4
0,##ava,1.4
82,mg,1.39
33,anterior,1.39
79,male,1.36
56,discharged,1.36
34,artery,1.36
12,##ix,1.36
32,alpha,1.36
131,vessel,1.36
110,sex,1.35
10,##hen,1.35
22,##ril,1.35
112,smooth,1.34
90,pain,1.29
45,complaints,1.27
4,##der,1.27
6,##eri,1.27
135,wire,1.27
136,wires,1.27
126,tubes,1.26
74,lan,1.25
91,past,1.24
75,las,1.24
120,tablets,1.23
88,pace,1.23
14,##lux,1.22
5,##ergy,1.22
119,tablet,1.22
102,pri,1.21
138,za,1.21
69,home,1.2
92,patch,1.2
107,resolution,1.2
93,patient,1.2
13,##lau,1.19
101,present,1.18
87,p,1.16
60,dose,1.16
132,vessels,1.14
29,66,1.14
67,heart,1.13
122,times,1.12
109,service,1.12
8,##for,1.12
111,smoke,1.11
123,transfer,1.1
118,surgical,1.1
31,all,1.1
35,birth,1.1
18,##ole,1.09
73,known,1.09
128,underwent,1.07
27,325,1.06
125,tube,1.06
42,coat,1.06
71,internal,1.06
50,d,1.05
65,following,1.01
86,one,0.96
113,stability,0.95
98,pills,0.95
83,n,0.93
134,weeks,0.88
38,care,0.88
58,doctor,0.86
130,up,0.86
26,##up,0.85
96,physician,0.85
121,time,0.84
105,r,0.84
80,med,0.84
28,6,0.81
62,drug,0.79
61,dr,0.77
137,years,0.76
127,two,0.75
97,pill,0.72
51,death,0.71
133,week,0.71
24,##t,0.68
46,condition,0.68
129,unstable,0.66
59,doctors,0.63
53,dictated,0.58
95,period,0.57
114,stabilize,0.56
78,main,0.55
81,medication,0.55
