,term,weight
256,ck,2.46
565,tt,2.45
141,##uba,2.41
434,ng,2.39
284,cv,2.38
240,cad,2.35
515,si,2.35
456,pc,2.28
276,cop,2.26
130,##tem,2.25
297,discharge,2.22
67,##ln,2.22
506,rv,2.18
83,##nr,2.09
470,pp,2.09
332,flare,2.08
103,##ova,2.08
381,intensive,2.07
275,consolidation,2.06
197,admission,2.05
468,po,2.05
482,ra,2.0
471,pr,2.0
29,##dation,2.0
431,ne,1.98
140,##tub,1.98
462,pic,1.97
446,oxygen,1.97
281,cp,1.95
429,mrs,1.94
484,rca,1.93
509,sb,1.93
425,moderate,1.93
6,##ane,1.93
117,##raz,1.92
81,##nis,1.9
561,tri,1.9
23,##cit,1.89
344,gi,1.88
554,thick,1.86
239,c,1.85
511,sen,1.84
492,remote,1.83
147,##una,1.82
467,pneumonia,1.82
302,divert,1.82
340,gag,1.82
528,status,1.81
530,stem,1.8
53,##hee,1.8
485,rd,1.79
412,mb,1.78
371,impression,1.78
262,code,1.78
210,anterior,1.78
265,cola,1.78
476,pt,1.78
392,lad,1.76
78,##ni,1.76
9,##ark,1.76
578,vent,1.75
574,upper,1.75
255,chill,1.75
42,##g,1.74
450,pan,1.74
460,peripheral,1.73
436,nr,1.73
7,##ani,1.73
64,##liner,1.72
567,tube,1.72
201,agitated,1.72
551,tape,1.72
529,ste,1.72
327,fat,1.71
118,##rba,1.7
517,soft,1.7
399,limited,1.7
162,##x,1.7
79,##nia,1.69
384,intermittent,1.69
57,##ility,1.69
60,##k,1.69
33,##ean,1.69
553,tender,1.69
386,iv,1.69
215,apparent,1.68
591,wheelchair,1.68
320,ex,1.68
195,activity,1.68
31,##dro,1.68
268,complaint,1.68
52,##hc,1.68
142,##uen,1.67
108,##pid,1.67
59,##itor,1.67
549,ta,1.67
51,##har,1.67
45,##git,1.67
499,retro,1.66
19,##bu,1.66
34,##eda,1.66
414,md,1.66
163,##xon,1.66
8,##aq,1.65
547,symmetrical,1.65
65,##lization,1.65
73,##mark,1.65
526,stat,1.65
441,om,1.64
427,mor,1.64
417,mi,1.63
413,mc,1.63
418,mic,1.63
576,valve,1.63
109,##pine,1.63
36,##enter,1.63
580,vital,1.63
18,##bound,1.62
532,stool,1.61
541,sustained,1.61
32,##ea,1.61
564,ts,1.61
406,m2,1.61
493,repeat,1.61
106,##phine,1.61
464,pl,1.6
149,##ure,1.6
267,comb,1.6
10,##ast,1.6
97,##oric,1.6
523,stable,1.6
228,bilateral,1.6
594,xl,1.6
134,##tica,1.6
178,200,1.59
169,%,1.59
453,parking,1.59
205,airways,1.59
258,clearance,1.59
394,le,1.58
341,gallo,1.58
80,##nic,1.58
420,mild,1.58
339,fx,1.58
167,##yt,1.58
257,clear,1.58
241,calcium,1.57
250,chair,1.57
437,ns,1.57
187,40,1.57
227,beta,1.56
38,##ergy,1.56
301,distal,1.56
283,ct,1.55
313,emergency,1.55
343,gas,1.55
298,discharged,1.55
143,##uin,1.55
40,##ff,1.55
422,mit,1.54
77,##nea,1.54
223,baseline,1.54
54,##hg,1.54
486,rebound,1.54
144,##uk,1.53
235,breath,1.53
183,321,1.53
497,res,1.53
76,##nch,1.52
538,supervision,1.52
133,##terol,1.52
322,f,1.52
330,fen,1.52
41,##fo,1.52
356,her,1.51
352,hc,1.51
519,solids,1.51
14,##atory,1.51
217,around,1.51
338,fur,1.51
522,speech,1.51
524,stain,1.51
480,pulmonary,1.51
17,##bn,1.51
274,consolidate,1.51
66,##lizer,1.51
88,##odon,1.51
435,normal,1.51
395,leaflets,1.51
291,delayed,1.5
63,##lia,1.5
545,sy,1.5
184,325,1.5
389,ky,1.5
559,tr,1.5
534,successful,1.49
391,lac,1.49
589,wednesday,1.49
62,##ler,1.49
