,term,weight
304,gt,2.47
439,sb,2.4
413,pt,2.39
419,raf,2.31
370,mrs,2.31
290,fen,2.27
382,ns,2.24
341,las,2.23
271,disposition,2.17
504,zenith,2.15
226,cat,2.15
59,##iff,2.14
321,hydra,2.11
5,##aia,2.11
11,##bolic,2.08
485,transient,2.08
101,##patient,2.06
196,ami,2.05
122,##rl,2.04
98,##otho,2.03
206,basal,2.03
207,baseline,2.02
229,cd,2.01
269,discharge,2.0
179,abd,1.99
132,##sit,1.97
126,##rove,1.97
67,##ix,1.96
443,si,1.96
22,##che,1.95
396,pc,1.95
414,pv,1.91
325,infiltrate,1.89
116,##rdi,1.88
26,##cite,1.88
7,##ane,1.88
262,dc,1.88
416,qi,1.87
285,extended,1.86
183,admission,1.86
426,rehab,1.85
258,cr,1.85
120,##ril,1.85
301,gi,1.84
415,q,1.84
157,##yin,1.83
227,cbc,1.82
336,iv,1.82
108,##pta,1.81
153,##version,1.81
208,bilateral,1.81
438,ry,1.8
337,j,1.8
239,cola,1.8
293,flag,1.79
146,##uf,1.79
374,nes,1.78
222,c,1.78
372,nat,1.78
459,stool,1.78
202,at,1.78
193,alfa,1.77
431,resolution,1.77
105,##pr,1.76
309,hc,1.75
109,##ptive,1.75
331,intermittent,1.74
147,##uma,1.74
95,##oro,1.73
422,ras,1.73
45,##for,1.73
189,aggressive,1.73
148,##ure,1.72
373,negative,1.72
279,ed,1.71
131,##sin,1.71
410,pro,1.71
223,cad,1.71
428,renal,1.71
35,##emia,1.71
149,##uria,1.7
203,atrium,1.69
51,##h,1.69
195,alt,1.69
365,mod,1.68
282,eta,1.68
197,anterior,1.67
445,sir,1.67
218,brief,1.67
20,##cence,1.67
342,lc,1.67
369,mri,1.66
56,##hot,1.66
468,ta,1.66
273,drip,1.66
241,colon,1.65
48,##fusion,1.65
60,##imo,1.65
493,van,1.65
362,micro,1.65
91,##oki,1.65
186,afi,1.64
283,evidence,1.64
166,08,1.64
240,coli,1.63
75,##lus,1.63
127,##rr,1.62
182,acute,1.62
259,ct,1.61
69,##kal,1.61
242,complaint,1.61
386,op,1.61
418,ra,1.61
28,##cor,1.6
264,di,1.6
33,##ea,1.6
475,tim,1.6
391,oxygen,1.59
113,##rane,1.59
191,album,1.59
72,##lizer,1.59
102,##pi,1.58
123,##rol,1.58
441,sep,1.58
383,nt,1.57
352,magnesium,1.57
231,ch,1.57
276,duration,1.57
316,hk,1.56
255,course,1.56
16,##car,1.56
483,trans,1.56
100,##pati,1.56
358,metabolic,1.55
159,##yp,1.55
