,term,weight
168,mr,2.53
243,trauma,2.06
228,staples,2.02
75,baseline,1.99
169,ms,1.99
41,##quist,1.96
137,hee,1.96
222,sic,1.95
21,##ir,1.94
214,reactive,1.87
27,##lon,1.86
42,##rco,1.84
124,ff,1.84
152,knife,1.83
227,staple,1.83
5,##bula,1.83
149,intact,1.83
133,gallo,1.82
31,##na,1.82
90,clear,1.82
3,##avian,1.82
121,exploration,1.81
38,##par,1.8
213,quadrant,1.79
108,discharge,1.78
203,pressure,1.78
251,wheelchair,1.78
66,admission,1.77
179,oriented,1.75
128,follow,1.75
7,##cton,1.73
95,contaminated,1.69
115,dressing,1.69
143,hop,1.68
78,bilateral,1.67
33,##olate,1.67
180,oro,1.67
59,140,1.66
44,##ryn,1.66
173,norm,1.66
13,##gul,1.66
154,lac,1.64
145,illicit,1.63
157,left,1.62
151,k,1.62
88,chest,1.62
237,tender,1.61
217,regime,1.6
205,primary,1.6
226,stable,1.59
51,##urg,1.59
248,v,1.58
64,abuse,1.58
68,alert,1.57
230,status,1.57
52,##utation,1.57
89,chronic,1.56
236,t,1.56
43,##rim,1.56
202,prescription,1.56
200,practitioner,1.55
212,pupils,1.55
45,##sper,1.55
54,##ysis,1.55
177,operating,1.54
181,ox,1.53
30,##lta,1.52
103,deficit,1.52
56,115,1.51
26,##let,1.51
241,toxic,1.51
86,cc,1.5
174,nurse,1.5
97,course,1.5
14,##had,1.5
17,##hesis,1.49
15,##hal,1.49
140,history,1.49
96,count,1.48
24,##ix,1.47
50,##umatic,1.47
142,home,1.47
176,old,1.47
93,coa,1.47
99,cry,1.47
159,loss,1.46
40,##pit,1.46
123,extra,1.46
244,traumatic,1.44
247,urine,1.43
107,diffuse,1.43
109,discharged,1.43
9,##date,1.43
28,##long,1.42
224,stabbed,1.42
119,estimated,1.42
172,neurological,1.42
219,room,1.42
178,operation,1.41
25,##lase,1.41
36,##opa,1.41
37,##ora,1.41
209,pt,1.41
211,pupil,1.41
252,white,1.4
71,antibodies,1.39
57,116,1.39
234,surgery,1.39
61,97,1.38
83,bow,1.38
155,lap,1.37
141,hiv,1.37
39,##pid,1.36
16,##hesion,1.36
85,case,1.35
82,blood,1.35
67,aggressive,1.35
250,walking,1.35
53,##vita,1.34
253,wound,1.34
23,##iv,1.34
4,##bri,1.34
47,##thic,1.33
198,plate,1.33
91,clinic,1.32
136,heart,1.32
147,induced,1.31
34,##ology,1.31
46,##tas,1.31
199,post,1.3
76,because,1.3
60,34,1.3
162,male,1.29
184,pal,1.29
19,##iam,1.29
210,pulse,1.29
2,##ato,1.29
220,service,1.29
182,pain,1.28
98,courses,1.28
207,progressive,1.28
120,ex,1.27
221,sex,1.27
72,antibody,1.27
0,##aneous,1.26
144,hospital,1.26
112,dose,1.26
48,##tom,1.26
80,bit,1.25
186,penetrate,1.25
255,x,1.25
171,narcotics,1.24
32,##nos,1.24
18,##hetic,1.23
218,respiratory,1.23
1,##aro,1.23
127,focal,1.22
216,recommended,1.22
62,abdominal,1.22
22,##it,1.21
175,nursing,1.21
6,##cr,1.21
242,transferred,1.2
122,extended,1.2
49,##tre,1.2
153,knives,1.19
146,increase,1.19
204,pri,1.19
8,##cut,1.18
185,patient,1.17
12,##ergy,1.17
58,120,1.17
11,##ental,1.17
117,drugs,1.16
77,bed,1.16
113,double,1.16
74,aus,1.16
125,field,1.15
126,five,1.15
187,performed,1.15
215,rec,1.15
10,##enia,1.14
138,hem,1.14
240,tone,1.14
193,placement,1.14
20,##ime,1.14
81,bleeding,1.13
132,four,1.13
156,las,1.13
232,sub,1.13
229,stated,1.12
110,doctor,1.12
29,##los,1.11
194,plan,1.11
35,##op,1.11
158,line,1.11
101,dates,1.1
197,plans,1.1
63,above,1.1
106,diet,1.09
249,walk,1.09
235,surgical,1.09
170,murder,1.08
70,amp,1.08
191,physical,1.08
79,birth,1.08
65,abused,1.08
231,stomach,1.07
116,drug,1.07
206,pro,1.07
130,following,1.07
160,m,1.06
102,day,1.05
163,management,1.05
254,wounds,1.04
183,painful,1.03
134,he,1.02
105,dictated,1.02
87,chair,1.01
238,term,1.01
167,met,1.01
245,up,1.01
189,pharmacy,0.99
188,persistent,0.97
165,med,0.97
225,stability,0.97
111,doctors,0.91
84,care,0.89
92,clinics,0.87
100,d,0.84
161,main,0.74
73,appointment,0.65
166,mentioned,0.62
150,job,0.54
192,physician,0.53
139,his,0.52
104,dentist,0.52
148,injury,0.47
94,concussion,0.43
201,prescribed,0.42
131,forensic,0.42
190,phone,0.39
223,specialist,0.38
239,therapist,0.37
129,followed,0.37
69,ambulance,0.37
114,dr,0.37
118,emergency,0.36
233,surgeon,0.3
55,08,0.29
196,planning,0.26
135,heal,0.25
208,psychologist,0.24
164,md,0.23
246,ups,0.23
195,planned,0.23
