('CARDIOTHORACIC Allergies', 0.004708392166112179)
('Tablet Sig', 0.009611123175796777)
('Sig', 0.01229001353878846)
('Tablet', 0.023317794692729873)
('Actuation Aerosol Sig', 0.027776512081036753)
('trach', 0.03697062107772836)
('mcg Tablet Sig', 0.041111530848000115)
('History', 0.04275054726718101)
('Aerosol Sig', 0.04553308405130945)
('COPD', 0.04796052391172197)
('Solution Sig', 0.050514099688484554)
('Syringe Sig', 0.05384139719743608)
('5-13', 0.05384988750180372)
('needed', 0.055808092487701286)
('day', 0.06338129428023907)
('Service', 0.06571443629780549)
('hiatal hernia', 0.06662476856873516)
('CARDIOTHORACIC', 0.06845675350398427)
('Allergies', 0.06845675350398427)
('DAILY', 0.06908120046157402)
('times', 0.07007666984990335)
('hours', 0.07261358194245236)
('Discharge', 0.07401882956623677)
('Inhalation', 0.0771271079342779)
('pain', 0.07722606777103348)
('Major Surgical', 0.08195744494007283)
('Invasive Procedure', 0.08195744494007283)
('Surgical or Invasive', 0.08471316347270764)
('hernia', 0.0923545004784119)
('Social History', 0.09605768920361969)
('Date', 0.09620768425328051)
('times a day', 0.09742782595235311)
('bronchoscopy', 0.09809803218305911)
('Spray Sig', 0.10468266881706623)
('Device Sig', 0.10665690445968785)
('Sodium', 0.1066860834926835)
('hiatal', 0.1082273811401538)
('Amlodipine Attending', 0.1156082731988946)
('Tablets', 0.11658897346364937)
('weaning', 0.11884674090347262)
('eval', 0.11978904401990893)
('Lotion Sig', 0.12147353822933081)
('stents', 0.12309540019198524)
('Actuation Aerosol', 0.1240859380469283)
('Cream Sig', 0.12449935164656792)
('TBM', 0.12489193358846411)
('Family History', 0.12614719861515425)
('Portex', 0.1261637643841199)
('CVA', 0.12826879151409915)
('RUE', 0.13502379117629085)
