('Tablet Sig', 0.00782003503452195)
('Tablet', 0.012566284910294653)
('Sig', 0.029720644111958325)
('SURGERY Allergies', 0.038581286273246564)
('INR', 0.04467043100016233)
('Discharge', 0.05321401059095181)
('Sex', 0.06504570666782765)
('History', 0.0676128918308755)
('Birth', 0.06869010516957351)
('Allergies', 0.06869010516957351)
('Hct', 0.07204058837957117)
('day', 0.07454174502898796)
('rectum Major Surgical', 0.07702443882098117)
('coumadin', 0.08338588922226994)
('Date of Birth', 0.08775984329755622)
('initial', 0.09087724425866567)
('PCP', 0.10132607810376344)
('Date', 0.10187200776360386)
('Invasive Procedure', 0.11392767907784808)
('Penicillins Attending', 0.11472472710266894)
('Major Surgical', 0.11882612911434168)
('Surgical or Invasive', 0.11882612911434168)
('blood', 0.122817011605661)
('Bright red blood', 0.12483651851639363)
('Delayed Release', 0.12498948352809632)
('Capsule Sig', 0.1339994521861377)
('atenolol Social History', 0.14411556340126433)
('red blood', 0.15093470149582394)
('red', 0.15733013080728964)
('Present Illness', 0.1606204502889278)
('rectum', 0.16385739750542003)
('atenolol', 0.169149232044787)
('Bright red', 0.17010301023751168)
('Medical History', 0.17011726976173439)
('2-12', 0.1732863993092089)
('time', 0.17794195958692785)
('units', 0.18722319752788935)
('Tablets', 0.18849427365441979)
('STitle', 0.19037128168533352)
('Service', 0.19063544931445106)
('rectum Major', 0.19075942774364546)
('NameIs', 0.19344459341898232)
('initial INR', 0.19386025383194924)
('Chief Complaint', 0.19387244985660196)
('Medications', 0.1951569718442165)
('initial Hct', 0.19570205422865686)
('care', 0.19774526174385929)
('Social History', 0.19825023686462712)
('Attending', 0.20392367125758243)
('PRBCs', 0.2063188078493768)
