('Tablet Sig', 0.0016597724371893302)
('Tablet', 0.0045030699073818035)
('MEDICINE Allergies', 0.0053245828097214)
('daily', 0.00702225088790933)
('Sig', 0.0077018453598499525)
('patient', 0.008683943673677667)
('BLOOD', 0.013315476611781037)
('Multivitamin Tablet Sig', 0.014475900842719647)
('Tablet Sustained Release', 0.01784006904843582)
('mcg Tablet Sig', 0.01992462522580621)
('days', 0.01998042234923674)
('Tablet PO DAILY', 0.020677709909726158)
('Discharge Date', 0.0255378218147149)
('Date', 0.02855011637842289)
('Admission Date', 0.033661455773042)
('Tablet Sustained', 0.035448422863100876)
('Capsule Sig', 0.03558148408207165)
('History', 0.0425326767111492)
('status', 0.04664428566692264)
('COPD', 0.04668581167930022)
('day', 0.04745350307943726)
('Hospital', 0.05390065387694314)
('Location', 0.05419399813639256)
('Discharge', 0.054513529952790775)
('Start', 0.05623571300813688)
('normal', 0.05697472718514526)
('CPK', 0.06383372869855368)
('Shortness of Breath', 0.06543227850741824)
('care', 0.06571520540669958)
('prednisone', 0.0674507156255499)
('respiratory', 0.06828080122853611)
('stop', 0.07223911029320501)
('MEDICINE', 0.07277624465653816)
('Allergies', 0.07277624465653816)
('Nebulization Sig', 0.07314408975255149)
('CXR', 0.07533445071890504)
('needed', 0.07557354855916902)
('Solution Sig', 0.07929162167258542)
('Multivitamin Tablet', 0.08083798543672564)
('Intubation', 0.08317908746886239)
('Shortness', 0.08849285120471675)
('Breath', 0.08849285120471675)
('Breath Major Surgical', 0.08938553267453622)
('patient family', 0.09523933270371168)
('Release', 0.09889374705060558)
('tube', 0.09973120520666177)
('Hypertension', 0.10136489946776206)
('Capsule', 0.10268911793190807)
('Device Sig', 0.10339108844968782)
('mcg Tablet', 0.10811910733889103)
